,original,log,norm_0_1,diff1,log_diff1
0,459.33,6.129768905985113,0.1798726422698695,,
1,460.9,6.133181099726462,0.18198183674566076,1.5699999999999932,0.0034121937413491565
2,459.39,6.129899522495226,0.1799532484281799,-1.509999999999991,-0.0032815772312364544
3,458.22,6.127349418128348,0.1783814283411253,-1.169999999999959,-0.002550104366878081
4,458.71,6.128418202106719,0.17903971196732765,0.48999999999995225,0.0010687839783711794
5,456.77,6.12417998192946,0.17643344618195494,-1.9399999999999977,-0.0042382201772586114
6,450.7,6.110801929696603,0.16827878983287664,-6.069999999999993,-0.013378052232857485
7,448.86,6.106711035112369,0.16580686764468816,-1.839999999999975,-0.004090894584233951
8,439.72,6.0861381607106635,0.15352786286205605,-9.139999999999986,-0.0205728744017053
9,436.64,6.079109056960029,0.1493900800687839,-3.080000000000041,-0.007029103750634924
10,440.16,6.087138297176264,0.15411897468966634,3.5200000000000387,0.008029240216235856
11,438.68,6.083770217892008,0.15213068945134084,-1.4800000000000182,-0.003368079284256531
12,437.52,6.081122419038517,0.15057230372400449,-1.160000000000025,-0.002647798853490535
13,440.88,6.08877272957498,0.1550862485893923,3.3600000000000136,0.007650310536462257
14,431.94,6.068286689709266,0.14307593100112853,-8.939999999999998,-0.0204860398657134
15,430.42,6.064761476169439,0.1410339083239293,-1.5199999999999818,-0.0035252135398273765
16,425.66,6.053640905534658,0.13463915309796343,-4.759999999999991,-0.011120570634781224
17,425.24,6.052653715420404,0.13407490998978994,-0.4200000000000159,-0.0009871901142535222
18,421.33,6.043416374614993,0.12882207533988926,-3.910000000000025,-0.009237340805411165
19,418.11,6.0357445557995275,0.1244962115105595,-3.2199999999999704,-0.007671818815465414
20,410.72,6.01791171712283,0.11456821967865022,-7.389999999999986,-0.01783283867669727
21,415.81,6.030228425158765,0.12140630877532382,5.089999999999975,0.012316708035934987
22,417.76,6.034907104950818,0.12402600892041488,1.9499999999999886,0.004678679792053053
23,422.21,6.045502820590854,0.13000429899510996,4.449999999999989,0.010595715640035586
24,424.73,6.051453672921953,0.13338975764415079,2.5200000000000387,0.005950852331099377
25,423.99,6.0497098700481695,0.13239561502498792,-0.7400000000000091,-0.0017438028737837286
26,426.79,6.056292088975038,0.1361572357461444,2.8000000000000114,0.006582218926868499
27,427.32,6.057533147077686,0.13686925681122036,0.5299999999999727,0.0012410581026482959
28,428.84,6.061083888988039,0.13891127948841958,1.5199999999999818,0.0035507419103524285
29,426.38,6.055330967436396,0.13560642699768938,-2.4599999999999795,-0.005752921551642309
30,425.75,6.053852319542798,0.1347600623354291,-0.6299999999999955,-0.0014786478935988612
31,426.56,6.055753036990344,0.1358482454726208,0.8100000000000023,0.0019007174475467181
32,429.61,6.062877820391151,0.1399457251867377,3.0500000000000114,0.007124783400806578
33,429.01,6.0614802286796525,0.13913966360363267,-0.6000000000000227,-0.001397591711498336
34,423.83,6.0493324314364365,0.1321806652694933,-5.180000000000007,-0.012147797243216019
35,421.52,6.04386722590103,0.12907732817453926,-2.3100000000000023,-0.005465205535406525
36,422.75,6.04678098777869,0.13072975441990436,1.2300000000000182,0.002913761877660015
37,419.52,6.039111200575335,0.12639045623085604,-3.230000000000018,-0.007669787203354872
38,420.95,6.042514061783673,0.1283115696705895,1.4300000000000068,0.0034028612083378817
39,422.61,6.0464497679403255,0.13054167338384653,1.660000000000025,0.0039357061566525076
40,425.83,6.0540402055904625,0.1348675372131764,3.2199999999999704,0.007590437650137005
41,427.22,6.0572991030295285,0.13673491321403625,1.3900000000000432,0.003258897439065933
42,431.02,6.066154492739426,0.14183996990703424,3.7999999999999545,0.008855389709897743
43,430.15,6.0641339850673575,0.1406711806115321,-0.8700000000000045,-0.0020205076720687387
44,432.32,6.069166054771834,0.1435864366704283,2.170000000000016,0.005032069704476783
45,432.47,6.06951295980428,0.1437879520662046,0.1500000000000341,0.00034690503244583226
46,436.5,6.0787883752796565,0.14920199903272618,4.029999999999973,0.00927541547537647
47,436.76,6.079383845145865,0.14955129238540493,0.2599999999999909,0.000595469866208731
48,436.56,6.078925822877976,0.1492826051910366,-0.19999999999998863,-0.00045802226788893563
49,434.58,6.07438004743529,0.14662260196679028,-1.9800000000000182,-0.004545775442686306
50,436.15,6.077986220879228,0.14873179644258155,1.5699999999999932,0.0036061734439378768
